Exchange,Symbol,Segment,SecurityType,PrimaryExch,LotSize,Restriction,OutstandingShares,ADV,MaxShares,MaxGrossShares,OddLot,MaxLots,MktPriceTick,MktPriceTolerance,PriceRangePct,BidPriceRangePct,AskPriceRangePct,RIC,QUIK,ISIN,BSYM,CUSIP,SEDOL,Currency,ClosePrice,BasePrice,PriceMult,ContractMult,Last,Bid,Ask,MinPrice,MaxPrice,MovingAvgPx,SettlePx,IAP,TrdStatus,MktCode,Tick,TickSize,Flags,Attributes,MovingAvgWindow,MovingAvgFreq,Partition,TickGroup,DerType,Underlying,OptionType,ExerciseStyle,StrikePrice,MaturityYearMonth,MaturityDay,ShortOptionMin,ContractValueFactor,Delta,MaxIntraGrossShares,MaxFutIntraGrossShares,ExposureMarginPct,FutureExtremeLossMarginPct,OptionExtremeLossMarginPct,SpreadExtremeLossMarginPct,RiskArray0,RiskArray1,RiskArray2,RiskArray3,RiskArray4,RiskArray5,RiskArray6,RiskArray7,RiskArray8,RiskArray9,RiskArray10,RiskArray11,RiskArray12,RiskArray13,RiskArray14,RiskArray15,ExecExchange,TrackedPrice,SharedAvail,SharedUsed
"T","8995","","CS","T",100,,,736,,,Y,201,Y,Y,,,,"8995.T","","JP3863070003","8995 JT","9JE01FZ94","B0WV5D8","",,606,,,,,,522,722,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8249","","CS","T",100,,,2493,,,Y,2003,Y,Y,,,,"8249.T","","JP3619200003","8249 JT","892991142","6899633","",,980,,,,,,816,1116,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9899","","CS","T",100,,,2600,,,Y,1611,Y,Y,,,,"9899.T","","JP3336200005","9899 JT","9JE008CY1","6860350","",,1205,,,,,,905,1505,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1636","","CS","T",1,,,11,,,Y,530,Y,Y,,,,"1636.T","","JP3046830000","1636 JT","9JE042MY9","B3BBDD6","",,22280,,,,,,17150,27150,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8922","","CS","T",100,,,410171,,,Y,27643,Y,Y,,,,"8922.T","","JP3104930007","8922 JT","9JE00AKT8","6735801","",,104,,,,,,61,161,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6737","","CS","T",100,,,45250,,,Y,2273,Y,Y,,,,"6737.T","","JP3651080008","6737 JT","9JE0099J6","6451817","",,3185,,,3185,,,2415,3815,,,,,,"U",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3167","","CS","T",100,,,443457,,,Y,13968,Y,Y,,,,"3167.T","","JP3552260006","3167 JT","9JE07XHU2","B3SF9N3","",,673,,,673,,,583,783,,,,,,"D",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7647","","CS","T",1000,,,3475000,,,Y,1947,Y,Y,,,,"7647.T","","JP3202200006","7647 JT","9JE0089M1","6252968","",,31,,,,,,1,61,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7577","","CS","T",100,,,51586,,,Y,1500,Y,Y,,,,"7577.T","","JP3781450006","7577 JT","9JE008LS4","6094773","",,316,,,,,,262,422,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5398","","CS","T",1000,,,101143,,,Y,102,Y,Y,,,,"5398.T","","JP3702000005","5398 JT","655991263","6639817","",,96,,,,,,67,127,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
